Scope,,Code Smell,Description
Traditional,,Duplicated Code,"This smell occurs when identical or highly similar code appears in multiple locations within a codebase. It increases maintenance costs and the risk of inconsistencies, as a single change must be manually replicated across all instances."
,,Long Function,"This code smell occurs when a function grows excessively large, containing too many lines of code or performing too many operations. Long functions are harder to understand, maintain, and test. In functional programming, this smell is analogous to the ""Long Method"" smell commonly discussed in object-oriented paradigms."
,,Large Class,"A class with too much code it often shows up as too many instance variables and it is prime breeding ground for duplicated code, chaos and death."
,,Long Parameter List,"This code smell occurs when a function or method accepts an excessive number of parameters. Long parameter lists make functions harder to understand, more error-prone to call, and more difficult to refactor."
,,Divergent Change,"This code smell occurs when a single module or function must be modified in multiple, unrelated ways for different reasons. It indicates poor separation of concerns and suggests that the code is handling responsibilities that should be split across different components."
,,Shotgun Surgery,"This code smell occurs when a single type of change requires numerous small edits across many different modules, functions, or files. When modifications are spread throughout the codebase, it becomes difficult to identify all the affected areas, increasing the risk of introducing inconsistencies or missing critical updates."
,,Feature Envy,A classic smell is a method that seems more interested in a class other than the one it actually is in. The most common focus of the envy is the data.
,,Data Clumps,"Often you'll see the same three or four data items together in lots of places: fields in a couple of classes, parameters in many method signatures. Bunches of data that hang around together really ought to be made into their own object."
,,Primitive Obsession,"This code smell occurs when the code relies too much on primitive types (such as integers, strings, or collections) to represent an object in a domain, rather than defining richer, explicit types. Primitive obsession leads to weak domain modeling, reduces code readability, and makes validation and maintenance harder."
,,Switch Statements,"The problem with switch statements is essentially that of duplication, often you find the same switch statements scattered about a program in different places. Most times you see a switch statement you should consider polymorphism."
,,Parallel Inheritance Hierarchies,"Everytime you make a subclass of one class, you also have to make a subclass of another."
,,Lazy Class,A class that isn't doing enough to pay for itself should be eliminated. Often this might be a class that was added because of changes that were planned but not made.
,,Speculative Generality,"All sorts of hooks and special cases to handle things that aren't required. If all this machinery were being used, it would be worth it. But if it isn't, it isn't."
,,Temporary Field,"Sometimes you see an object in which an instance variable is set only in certain circumstances. Such code is difficult to understand, because you expect an object to need all of its variables."
,,Message Chains,"This code smell occurs when you chain method calls on top of other method calls, creating a long, fragile chain of calls. Each object in the chain exposes part of its internal structure to the caller, increasing coupling and making the code harder to read, maintain, and refactor. Changes to intermediate objects often require modifications throughout the chain, leading to brittle designs."
,,Middle Man,"This code smell occurs when a function serves mainly to pass data or delegate calls to another function without adding meaningful transformation, validation, or abstraction. This redundant indirection unnecessarily complicates the codebase and obscures the program's true flow. In object-oriented programming this smell often manifests through classes that merely forward method calls."
,,Inappropriate Intimacy,"This code smell occurs when functions, modules, or data structures become overly dependent on each other's internal representations or behaviors. This tight coupling reduces modularity, complicates maintenance, and makes it harder to evolve or reason about the system independently."
,,Alternative Classes with Different Interfaces,Use Rename Method on any methods that do the same thing but have different signatures for what they do.
,,Incomplete Library Class,"The trouble is that it is often bad form, and usually impossible, to modify a library class to do something you'd like it to do."
,,Data Class,"These are classes that have fields, getting and setting methods for the fields, and nothing else. Such classes are dumb data holders and are almost certainly being manipulated in far too much detail by other classes."
,,Refused Bequest,Subclasses get to inherit the methods and data of their parents. But what if they don't want or need what they are given? The traditional story is that this means the hierarchy is wrong. The smell of refused bequest is much stronger if the subclass is reusing behavior but does not want to support the interface of the superclass.
,,Comments,"This code smell occurs when functions, modules, or data structures become overly dependent on each other's internal representations or behaviors. This tight coupling reduces modularity, complicates maintenance, and makes it harder to evolve or reason about the system independently."
,,Mixed Paradigms,"This code smell occurs when two or more distinct programming paradigms are used together in a way that forces interoperability. The blending of approaches — such as functional and imperative or object-oriented and procedural — can introduce confusion, reduce clarity, and complicate the design, as different paradigms impose conflicting constraints and expectations."
